index,millis,x,y
0,0,1239,240
0,2202,1209,296
0,2208,1208,299
0,2216,1206,302
0,2224,1205,306
0,2232,1205,311
0,2238,1206,316
0,2246,1209,321
0,2598,1024,530
0,2606,1019,531
0,2636,934,552
0,2644,929,553
0,2652,919,556
0,2658,905,561
0,2666,886,567
0,2674,868,575
0,2682,849,583
0,2688,830,592
0,2696,811,602
0,2704,792,612
0,2712,774,623
0,2718,756,635
0,2726,738,647
0,2734,721,660
0,2742,705,674
0,2748,691,688
0,2758,678,701
0,2764,666,715
0,2772,655,728
0,2778,646,741
0,2786,638,754
0,2794,631,767
0,2802,626,779
0,2808,623,790
0,2816,621,800
0,2824,622,809
0,2830,625,817
0,2838,629,824
0,2846,635,830
0,2854,642,834
0,2862,650,837
0,2868,659,839
0,2876,669,839
0,2884,680,837
0,2890,691,833
0,2898,703,828
0,2908,716,822
0,2914,730,815
0,2920,743,807
0,2928,756,799
0,2936,767,790
0,2944,778,781
0,2952,789,771
0,2958,799,760
0,2966,809,753
0,2974,818,745
0,2982,827,739
0,2988,835,733
0,2996,842,729
0,3004,848,725
0,3010,852,721
0,3018,856,719
0,3027,858,717
0,3034,859,715
0,3040,859,714
0,3048,859,713
0,3056,859,712
0,3064,859,710
0,3072,858,708
0,3078,857,705
0,3086,855,702
0,3094,854,699
0,3102,852,697
0,3108,849,694
0,3116,846,691
0,3124,841,688
0,3132,836,686
0,3138,830,683
0,3146,824,682
0,3154,818,680
0,3162,811,679
0,3168,803,680
0,3176,795,680
0,3184,787,682
0,3192,777,684
0,3198,768,686
0,3206,759,689
0,3214,750,691
0,3222,741,693
0,3228,733,695
0,3236,725,697
0,3244,718,699
0,3252,713,699
0,3258,709,701
0,3266,705,701
0,3274,702,701
0,3282,699,702
0,3288,697,701
0,3296,696,699
0,3304,696,699
0,3310,695,698
0,3318,695,696
0,3326,695,695
0,3334,694,693
0,3340,693,692
0,3348,693,690
0,3356,692,689
0,3364,692,687
0,3372,691,686
0,3378,691,686
0,3386,690,685
0,3390,690,685
