index,millis,x,y
0,0,431,323
0,3525,434,323
0,3537,437,324
0,3550,439,325
0,3563,441,327
0,3575,442,328
0,3588,444,328
0,3601,444,328
0,3613,445,329
0,3626,445,329
0,3639,446,329
0,3650,446,330
0,3663,447,330
0,3676,447,330
0,3701,448,330
0,3713,448,330
0,3726,449,330
0,3738,450,330
0,3751,450,331
0,3763,451,331
0,3775,452,332
0,3788,453,333
0,3800,455,333
0,3813,455,334
0,3825,457,334
0,3838,457,334
0,3851,458,335
0,3863,458,335
0,3876,458,335
0,3901,458,336
0,3913,458,336
0,3975,458,336
0,4050,458,336
0,4063,458,336
0,4138,458,336
