index,millis,x,y
0,0,1607,954
0,5947,1607,952
0,5973,1607,949
0,6022,1607,949
0,6047,1607,949
0,15684,1604,924
0,15696,1595,850
0,15708,1591,769
0,15720,1591,688
0,15734,1594,596
0,15746,1605,500
0,15758,1616,420
0,15771,1628,367
0,15970,1593,349
0,15982,1530,308
0,15995,1462,253
0,16007,1398,191
0,16019,1350,141
0,16032,1323,110
0,16045,1309,95
0,16057,1303,87
0,16069,1300,83
0,16293,1224,78
0,16306,1124,75
0,16318,1032,75
0,16331,954,75
0,16343,896,78
0,16357,862,83
0,16369,845,88
0,16381,838,93
0,16393,836,96
0,16581,827,93
0,16593,818,87
0,16606,812,82
0,16618,807,75
0,16630,805,73
0,16642,803,70
0,16655,803,69
0,16667,802,68
0,16680,801,66
0,16693,800,64
0,16706,799,62
0,16717,798,60
0,16731,798,58
0,16743,797,55
0,16755,797,55
0,16930,797,55
