index,millis,x,y
0,0,309,436
0,87,310,437
0,96,311,438
0,103,314,440
0,111,319,443
0,119,329,447
0,127,339,451
0,135,347,454
0,144,357,457
0,151,369,460
0,159,375,461
0,167,378,462
0,175,383,463
0,183,386,464
0,191,387,464
0,199,388,464
0,207,388,464
0,280,389,464
0,296,389,464
0,303,389,463
0,312,390,462
0,320,391,461
0,328,391,460
0,336,391,459
0,344,392,459
0,352,392,458
0,360,392,458
0,368,392,457
0,2704,392,456
0,3407,392,455
0,3415,400,452
0,3423,411,450
0,3432,426,448
0,3440,465,443
0,3448,493,439
0,3456,522,436
0,3464,569,429
0,3472,600,425
0,3479,632,420
0,3488,661,414
0,3495,699,405
0,3504,715,401
0,3512,726,398
0,3520,734,395
0,3856,744,394
0,3864,748,391
0,3871,753,390
0,3880,754,389
0,3887,754,389
0,3895,754,388
0,3911,754,388
0,3927,754,387
0,3943,753,387
0,3951,750,387
0,3959,746,388
0,3967,737,391
0,3975,717,399
0,3983,704,406
0,3991,682,415
0,3999,643,432
0,4007,617,443
0,4015,583,459
0,4023,531,479
0,4031,495,490
0,4039,466,498
0,4047,426,505
0,4055,409,507
0,4063,397,507
0,4071,385,507
0,4079,383,507
0,4343,381,507
0,4351,378,507
0,4359,377,506
0,4367,374,505
0,4375,373,505
0,4383,372,505
0,4392,371,505
0,10464,371,505
0,11392,371,505
0,11400,376,505
0,11408,383,504
0,11416,390,504
0,11424,393,504
0,11432,396,504
0,11440,403,505
0,11447,411,506
0,11455,419,508
0,11463,433,511
0,11471,443,512
0,11479,453,512
0,11487,465,512
0,11495,473,512
0,11503,479,512
0,11511,486,512
0,11520,488,512
0,11528,489,512
0,11775,489,512
0,11792,489,512
0,11807,488,512
0,11823,487,512
0,12032,486,512
0,20567,486,512
0,30367,486,512
0,30839,486,512
0,32728,486,513
0,39551,486,513
0,39559,490,509
0,39567,503,506
0,39575,520,502
0,39583,543,499
0,39591,557,496
0,39599,570,494
0,39607,597,489
0,39615,615,487
0,39623,635,485
0,39631,668,484
0,39639,682,483
0,39647,694,483
0,39655,709,483
0,39663,716,483
0,39671,720,483
0,39679,722,483
0,39687,722,483
0,39775,722,483
0,39783,721,483
0,39791,718,483
0,39799,714,483
0,39807,706,483
0,39815,698,483
0,39823,691,483
0,39831,682,483
0,39839,676,483
0,39847,671,484
0,39855,664,485
0,39863,659,486
0,39871,656,487
0,39879,653,487
0,39887,652,487
0,39895,651,487
0,39903,649,487
0,39919,649,487
0,39951,648,487
0,40015,648,487
0,40023,647,487
0,40031,647,487
0,40039,645,488
0,40047,642,489
0,40055,639,489
0,40063,636,489
0,40070,633,490
0,40079,630,491
0,40087,628,491
0,40095,625,491
0,40103,624,492
0,40111,622,492
0,40119,622,492
0,40184,622,492
