index,millis,x,y
0,0,703,398
0,22120,703,398
0,22132,703,402
0,22144,703,406
0,22158,703,414
0,22170,700,426
0,22182,698,440
0,22195,696,457
0,22206,693,477
0,22219,691,492
0,22232,688,508
0,22244,687,520
0,22257,685,528
0,22269,685,535
0,22282,685,538
0,25366,683,538
0,25391,663,528
0,25404,623,503
0,25415,588,480
0,25428,557,455
0,25440,529,432
0,25453,512,418
0,25465,499,407
0,25477,492,398
0,25489,487,393
0,25502,484,392
0,25764,484,392
0,25777,483,392
0,25789,482,392
0,25802,482,392
0,25814,482,392
0,25865,481,392
0,25890,481,393
0,25902,481,393
0,25914,480,393
0,25926,480,394
0,25939,479,394
0,25975,479,394
