index,millis,x,y
0,0,13,41
0,237,14,41
0,249,19,41
0,262,31,43
0,274,60,47
0,287,118,53
0,299,192,57
0,312,282,66
0,324,374,73
0,337,458,79
0,350,533,88
0,362,596,94
0,375,637,97
0,388,652,99
0,588,655,99
0,600,663,100
0,612,692,105
0,624,762,120
0,637,856,140
0,650,970,167
0,663,1087,202
0,675,1187,232
0,688,1284,261
0,700,1339,281
0,974,1344,285
0,987,1351,292
0,999,1365,306
0,1012,1385,328
0,1024,1411,364
0,1037,1442,403
0,1049,1474,451
0,1062,1504,495
0,1074,1530,533
0,1087,1547,557
0,1100,1558,576
0,2261,1558,583
0,2273,1560,592
0,2286,1563,606
0,2298,1566,621
0,2312,1569,636
0,2324,1572,652
0,2336,1577,667
0,2349,1580,678
0,2362,1585,689
0,2374,1588,699
0,2386,1594,714
0,2399,1600,726
0,2411,1605,740
0,2423,1611,753
0,2436,1615,764
0,2448,1620,771
0,2461,1621,775
0,2474,1623,776
0,7083,1622,791
0,7096,1615,825
0,7109,1608,857
0,7122,1600,885
0,7135,1596,901
0,7147,1593,912
0,7160,1591,916
0,7171,1591,918
0,7185,1591,919
0,7197,1591,919
0,7209,1591,920
0,7309,1591,920
0,7321,1591,919
0,7333,1591,917
0,7346,1592,913
0,7359,1595,907
0,7371,1597,900
0,7384,1600,894
0,7396,1601,891
0,7409,1602,889
0,7421,1603,887
0,7434,1603,887
0,7446,1603,886
0,7459,1603,886
0,7484,1603,886
0,7509,1604,885
0,7520,1604,884
0,7533,1605,884
0,7546,1605,884
0,7622,1605,883
0,7671,1605,883
