index,millis,x,y
0,0,536,434
0,873,538,432
0,886,548,427
0,898,561,419
0,911,585,406
0,923,609,391
0,936,629,381
0,948,650,371
0,960,665,365
0,973,675,360
0,985,686,356
0,998,694,354
0,1010,701,354
0,49165,699,354
0,49178,694,355
0,49190,675,358
0,49203,641,362
0,49215,600,365
0,49227,564,369
0,49240,525,371
0,49253,495,372
0,49266,470,372
0,49278,448,372
0,49290,429,372
0,49303,414,372
0,49315,401,372
0,49328,390,373
0,49340,381,374
0,54409,385,372
0,54421,396,368
0,54434,416,359
0,54445,447,345
0,54458,481,331
0,54470,511,319
0,54483,541,310
0,54495,563,305
0,54508,581,301
0,54521,592,298
0,54533,601,296
0,54546,606,295
0,54558,609,295
0,54571,612,294
0,54583,612,294
0,54596,613,293
0,54708,613,293
0,54721,615,292
0,54733,616,292
0,54745,618,291
0,54758,618,291
0,54769,619,291
0,54782,620,291
0,54871,620,291
0,54920,620,292
0,54945,620,294
0,54958,620,296
0,54970,620,298
0,54981,620,299
0,54994,620,300
0,55007,620,301
0,55008,620,301
