index,millis,x,y
0,0,954,89
0,1998,952,89
0,2011,933,89
0,2024,863,89
0,2036,771,89
0,2049,666,93
0,2061,557,98
0,2074,470,104
0,2086,418,108
0,2098,386,113
0,2110,374,114
0,2335,362,111
0,2347,347,108
0,2361,330,103
0,2372,318,99
0,2386,312,98
0,2397,311,98
0,2410,310,98
0,2423,310,98
0,2523,307,98
0,2535,303,98
0,2547,300,98
0,2560,297,98
0,2573,294,99
0,2585,292,99
0,2598,291,99
0,2611,291,99
0,2623,290,99
0,2673,289,100
0,2686,288,100
0,2698,287,100
0,2711,287,100
0,2723,286,100
0,2735,285,100
0,2785,285,100
0,2822,284,100
0,2835,282,100
0,2847,280,100
0,2860,279,100
0,2872,278,100
0,2885,276,100
0,2897,276,100
0,2910,275,99
0,3172,275,99
