index,millis,x,y
0,0,871,497
0,263,885,497
0,275,916,502
0,288,974,510
0,301,1046,527
0,313,1132,549
0,325,1219,576
0,338,1297,602
0,350,1358,627
0,363,1403,648
0,376,1434,664
0,388,1449,672
0,400,1454,674
0,2574,1454,674
0,2586,1456,667
0,2598,1468,639
0,2611,1496,585
0,2624,1532,529
0,2636,1579,469
0,2649,1634,406
0,2662,1695,342
0,2674,1753,288
0,2686,1800,249
0,2699,1827,231
0,2711,1840,223
0,2723,1845,222
0,2949,1849,222
0,2961,1854,222
0,2974,1860,222
0,2986,1864,222
0,2999,1867,222
0,3011,1869,222
0,3023,1871,223
0,3036,1872,223
0,3048,1873,225
0,3061,1873,226
0,3074,1874,226
0,3086,1874,227
0,3099,1874,227
0,3110,1875,227
0,3123,1876,228
0,3136,1876,229
0,3148,1876,230
0,3160,1876,230
