index,millis,x,y
0,0,944,628
0,639,944,629
0,651,944,635
0,664,947,646
0,675,949,665
0,688,956,702
0,700,966,747
0,713,975,795
0,725,987,838
0,738,995,876
0,750,1003,901
0,763,1007,917
0,1363,1010,917
0,1376,1010,915
0,1388,1012,912
0,1401,1014,909
0,1413,1015,906
0,1426,1018,903
0,1437,1021,901
0,1450,1022,899
0,1463,1024,897
0,1475,1026,895
0,1488,1027,894
0,1501,1029,891
0,1514,1030,890
0,1526,1032,889
0,1539,1033,887
0,1552,1035,886
0,1563,1035,884
0,1576,1037,883
0,1588,1038,882
0,1601,1039,880
0,1613,1039,880
0,1626,1040,879
0,1639,1040,879
0,1652,1041,878
0,1663,1042,877
0,1676,1042,875
0,1688,1044,874
0,1701,1046,872
0,1713,1047,872
0,1726,1048,871
0,1738,1049,870
0,1751,1050,869
0,1763,1050,868
0,1776,1051,867
0,1788,1052,867
0,1800,1052,866
0,2075,1052,866
