index,millis,x,y
0,0,1740,11
0,599,1732,11
0,611,1720,11
0,624,1694,11
0,636,1643,11
0,649,1585,17
0,662,1518,32
0,674,1451,49
0,686,1388,70
0,699,1341,91
0,711,1307,107
0,724,1287,116
0,1348,1281,111
0,1361,1267,99
0,1373,1241,77
0,1386,1218,54
0,1398,1195,34
0,1411,1182,21
0,1423,1174,15
0,1436,1166,10
0,1448,1164,8
0,1461,1163,6
0,1524,1163,6
0,1536,1163,6
0,1549,1166,6
0,1561,1170,6
0,1574,1178,6
0,1586,1187,6
0,1599,1198,6
0,1614,1210,6
0,1624,1221,4
0,1636,1230,4
0,1648,1238,4
0,1660,1244,4
0,1674,1249,5
0,1685,1252,6
0,1698,1255,6
0,1711,1259,8
0,1724,1261,9
0,1736,1263,10
0,1748,1265,11
0,1761,1267,12
0,9180,1263,10
0,9192,1252,3
0,9205,1221,-13
0,9217,1160,-30
0,9230,1082,-24
0,9242,1004,-15
0,9255,938,-10
0,9267,870,-4
0,9280,802,0
0,9292,723,5
0,9305,652,16
0,9592,649,16
0,9605,646,13
0,9618,639,12
0,9630,631,9
0,9642,622,6
0,9655,612,5
0,9667,602,3
0,9680,594,1
0,9692,586,1
0,9705,580,1
0,9717,575,1
0,9730,571,1
0,9744,566,2
0,9756,563,2
0,9768,560,3
0,9780,558,4
0,9793,556,5
0,9806,553,5
0,9818,551,6
0,9830,546,6
0,9843,539,10
0,9855,531,13
0,9867,522,17
0,9917,522,17
