index,millis,x,y
0,0,14,168
0,725,15,168
0,763,28,168
0,776,47,168
0,788,104,174
0,801,194,182
0,813,296,187
0,826,403,191
0,838,519,195
0,851,649,205
0,863,772,220
0,876,882,235
0,889,969,250
0,901,1037,262
0,914,1084,271
0,925,1106,271
0,938,1107,271
0,1114,1106,270
0,1126,1106,269
0,1138,1106,269
0,1164,1106,264
0,1177,1111,259
0,1188,1128,251
0,1201,1162,236
0,1213,1203,221
0,1226,1245,205
0,1238,1285,194
0,1251,1321,185
0,1264,1352,180
0,1276,1376,176
0,1289,1392,173
0,1301,1403,172
0,1314,1407,171
0,1327,1408,171
0,1339,1409,171
0,1352,1409,171
0,1364,1410,171
0,1389,1411,171
0,1714,1410,173
0,1727,1410,174
0,1739,1410,176
0,1752,1409,178
0,1765,1409,180
0,1777,1409,182
0,1790,1408,182
0,1802,1408,183
0,1815,1408,184
0,1827,1408,185
0,1840,1407,187
0,1853,1407,188
0,1865,1406,190
0,1877,1405,192
0,1889,1405,193
0,1902,1404,194
0,1915,1404,194
0,1927,1404,195
0,1940,1404,195
0,1952,1403,195
0,1965,1403,195
0,1990,1403,196
0,2921,1403,196
