index,millis,x,y
0,0,1145,867
0,1375,1144,866
0,1386,1135,861
0,1399,1125,852
0,1412,1115,843
0,1425,1105,833
0,1437,1098,825
0,1450,1091,820
0,1463,1088,816
0,1475,1083,811
0,1488,1077,801
0,1500,1073,789
0,60963,1072,789
0,60975,1072,789
0,60988,1070,786
0,61001,1064,771
0,61012,1054,729
0,61025,1042,675
0,61037,1035,628
0,61050,1027,585
0,61063,1020,551
0,61075,1014,514
0,61087,1012,478
0,61101,1010,445
0,61112,1010,420
0,61475,1000,408
0,61489,983,386
0,61500,962,354
0,61512,947,327
0,61525,936,303
0,61537,926,285
0,61550,919,272
0,61562,914,260
0,61575,912,249
0,61587,912,242
0,61825,912,241
0,61837,911,237
0,61850,904,228
0,61862,897,215
0,61875,889,204
0,61888,884,192
0,61900,878,184
0,61913,876,177
0,61926,874,172
0,61938,874,167
0,61950,873,165
0,61962,873,164
0,61975,873,163
0,62075,873,163
0,62088,872,161
0,62100,871,161
0,62112,870,160
0,62125,870,158
0,62137,869,158
0,62225,869,157
0,62425,869,156
0,62437,868,155
0,62450,868,154
0,62462,867,153
0,62475,867,153
0,62488,866,152
0,62500,866,152
0,62537,866,152
