index,millis,x,y
0,0,1647,15
0,1351,1646,15
0,1364,1637,15
0,1376,1610,10
0,1388,1560,6
0,1401,1501,6
0,1414,1426,18
0,1426,1346,36
0,1439,1272,62
0,1451,1201,96
0,1464,1141,137
0,1477,1094,178
0,1701,1086,180
0,1714,1066,186
0,1727,1025,201
0,1739,975,221
0,1752,923,241
0,1764,876,263
0,1777,839,283
0,1789,812,298
0,1802,799,305
0,1813,792,309
0,2001,787,311
0,2014,782,312
0,2026,773,316
0,2038,763,321
0,2051,755,324
0,2064,748,327
0,2076,743,330
0,2089,739,331
0,2100,736,333
0,2113,735,334
0,2126,734,334
0,2138,734,335
0,2151,733,336
0,2163,732,337
0,2177,732,339
0,2188,731,340
0,2201,730,342
0,2213,729,343
0,2227,728,344
0,2240,728,344
0,2252,728,345
0,2265,727,345
0,2277,727,346
0,2290,726,347
0,2301,725,348
0,2314,724,351
0,2327,722,353
0,2339,722,355
0,2352,720,357
0,2364,719,359
0,2438,719,359
