index,millis,x,y
0,0,499,575
0,288,499,576
0,301,497,578
0,314,492,581
0,326,487,584
0,339,479,587
0,351,469,590
0,364,461,592
0,376,452,594
0,389,445,596
0,402,438,598
0,414,431,600
0,426,426,602
0,438,421,603
0,451,418,604
0,463,415,605
0,477,413,605
0,489,410,606
0,502,408,607
0,514,405,608
0,526,401,608
0,538,398,609
0,550,396,609
0,563,394,610
0,576,393,610
0,588,391,610
0,601,390,610
0,614,389,610
0,627,388,610
0,639,386,610
0,652,384,610
0,664,382,610
0,677,380,610
0,689,378,610
0,702,376,609
0,714,375,608
0,727,374,607
0,740,372,607
0,751,371,606
0,764,370,605
0,1077,370,605
0,1088,369,605
0,1100,367,605
0,1113,366,605
0,1125,364,605
0,1139,362,605
0,1151,360,604
0,1163,358,604
0,1176,357,604
0,1188,356,604
0,1250,356,604
