index,millis,x,y
0,0,62,194
0,14413,74,192
0,14425,108,183
0,14438,170,162
0,14451,244,138
0,14463,319,117
0,14476,384,96
0,14489,441,80
0,14501,488,68
0,14514,524,59
0,14526,545,55
0,14538,557,55
0,14551,561,55
0,15313,557,55
0,15326,539,55
0,15339,495,51
0,15350,439,41
0,15363,380,31
0,15375,332,20
0,15388,294,11
0,15401,270,3
0,15413,256,-2
0,15426,247,-3
0,15437,241,-3
0,15662,239,0
0,15675,234,1
0,15688,223,3
0,15701,210,6
0,15712,196,9
0,15725,183,10
0,15737,173,12
0,15749,167,12
0,15762,161,13
0,15774,157,13
0,15787,154,15
0,15800,151,15
0,15813,150,15
0,15826,149,15
0,15838,148,15
0,15863,148,15
0,15988,148,15
0,16000,148,16
0,16013,148,16
0,16026,150,16
0,16037,152,16
0,16050,155,17
0,16063,157,17
0,16075,160,17
0,16088,163,17
0,16100,164,17
0,16113,166,17
0,16124,167,18
0,16350,167,18
