index,millis,x,y
0,0,1089,95
0,416,1089,96
0,424,1089,103
0,432,1089,115
0,440,1089,126
0,448,1089,141
0,456,1083,164
0,464,1078,181
0,472,1071,194
0,480,1060,213
0,488,1052,219
0,496,1046,224
0,504,1036,230
0,512,1030,233
0,520,1023,234
0,528,1017,235
0,536,1013,235
0,544,1011,235
0,552,1009,235
0,560,1009,235
0,568,1008,235
0,584,1008,235
0,608,1008,234
0,616,1008,234
0,624,1009,234
0,632,1009,234
0,640,1010,233
0,648,1011,233
0,656,1012,233
0,664,1013,233
0,672,1014,233
0,680,1015,233
0,688,1016,233
0,696,1017,233
0,704,1018,233
0,712,1020,233
0,720,1020,233
0,728,1021,233
0,736,1022,233
0,744,1023,233
0,760,1023,233
0,816,1024,233
0,848,1024,233
0,912,1024,234
0,928,1024,234
0,952,1024,234
0,968,1024,234
0,976,1024,234
0,1016,1023,234
0,1048,1022,235
0,1072,1022,235
0,1088,1021,235
0,1096,1021,235
0,1112,1020,235
0,1128,1020,235
0,1136,1019,235
0,1144,1018,235
0,1152,1018,235
0,1160,1017,235
0,1184,1017,235
0,4016,1016,235
0,4240,1016,235
0,4256,1014,231
0,4264,998,220
0,4272,979,205
0,4280,949,185
0,4288,895,152
0,4296,856,132
0,4304,813,110
0,4312,747,78
0,4320,707,56
0,4329,672,35
0,4337,633,15
0,4344,623,8
0,4552,623,8
0,4560,624,8
0,4568,624,8
0,4608,624,8
0,4616,622,8
0,4624,617,8
0,4632,612,7
0,4640,604,7
0,4648,593,5
0,4656,585,5
0,4664,579,5
0,4672,569,5
0,4680,563,5
0,4688,557,5
0,4696,549,5
0,4704,545,5
0,4712,541,5
0,4720,537,5
0,4728,536,5
0,4736,533,5
0,4744,533,5
0,4752,532,5
0,4784,532,5
0,4808,532,6
0,4832,532,6
0,4848,532,7
0,4872,532,7
0,4888,532,8
0,4896,532,8
0,4920,532,9
0,4936,532,10
0,4960,532,10
0,4976,532,11
0,5440,532,11
