index,millis,x,y
0,0,1168,544
0,23400,1165,541
0,23412,1154,527
0,23425,1130,492
0,23438,1104,444
0,23451,1076,391
0,23463,1046,332
0,23476,1014,271
0,23489,977,202
0,23502,931,114
0,23514,883,31
0,23527,846,-26
0,23539,822,-33
0,23552,810,-13
0,23565,804,-6
0,23577,802,0
0,23792,800,0
0,23805,799,0
0,23818,795,0
0,23831,792,0
0,23843,789,0
0,23856,787,0
0,23869,785,0
0,23882,783,0
0,23895,783,0
0,23907,782,1
0,23919,782,1
0,23932,781,1
0,23946,781,1
0,23958,780,1
0,23983,779,1
0,23997,779,1
0,24009,779,2
0,24022,778,2
0,24034,778,2
0,24047,778,3
0,24059,777,3
0,24072,777,4
0,24084,776,5
0,24097,775,5
0,24110,774,6
0,24123,774,6
0,24135,772,6
0,24148,772,6
0,24161,771,6
0,24173,771,6
0,24186,770,8
0,24198,770,9
0,24211,769,9
0,24224,768,9
0,24236,768,10
0,24249,767,10
0,24261,767,11
0,24275,766,11
0,24287,766,11
0,24300,766,12
0,24313,765,13
0,24325,764,13
0,24338,764,13
0,24350,763,15
0,24365,763,16
0,24377,762,17
0,24390,761,17
0,24402,761,18
0,24415,760,19
0,24427,760,20
0,24440,759,20
0,24769,759,22
0,24782,764,27
0,24795,772,36
0,24808,788,55
0,24820,812,79
0,24833,839,110
0,24845,867,141
0,24858,889,169
0,24870,917,200
0,24884,943,233
0,24897,973,269
0,24909,1003,303
0,24922,1033,337
0,24934,1060,365
0,24947,1081,393
0,25201,1084,398
0,25214,1091,406
0,25227,1101,423
0,25239,1118,447
0,25252,1135,477
0,25264,1149,499
0,25277,1166,519
0,25290,1184,535
0,25302,1201,550
0,25315,1222,562
0,25327,1246,574
0,29564,1245,574
0,29576,1236,570
0,29589,1208,541
0,29601,1161,484
0,29614,1120,422
0,29626,1087,363
0,29639,1057,315
0,29652,1034,280
0,29666,1015,255
0,29678,995,234
0,29691,969,210
0,29703,944,179
0,29716,920,146
0,29957,919,146
0,29970,917,146
0,29982,910,142
0,29995,891,133
0,30007,854,114
0,30020,825,97
0,30033,803,83
0,30045,787,74
0,30058,776,66
0,30070,769,61
0,30083,764,57
0,30096,760,53
0,30109,758,51
0,30122,756,48
0,30135,754,47
0,30148,753,46
0,30160,751,43
0,30172,749,42
0,30185,748,40
0,30199,745,37
0,30211,744,36
0,30224,742,34
0,30236,742,32
0,30249,740,30
0,30261,740,29
0,30279,740,27
0,30287,740,27
0,30325,740,27
0,30337,740,27
0,30350,741,27
0,30362,742,27
0,30376,743,27
0,30388,745,27
0,30401,746,27
0,30413,748,27
0,30426,749,27
0,30440,752,27
0,30452,752,27
0,30465,753,27
0,30527,753,27
