index,millis,x,y
0,0,506,39
0,713,477,39
0,726,426,39
0,740,388,39
0,752,363,39
0,764,350,39
0,777,341,39
0,1038,335,39
0,1051,324,39
0,1063,308,39
0,1076,278,39
0,1088,246,39
0,1101,224,39
0,1114,209,38
0,1126,201,38
0,1139,197,37
0,1152,196,37
0,1164,194,37
0,1177,192,37
0,1189,190,37
0,1202,189,37
0,1213,187,38
0,1226,187,38
0,1314,185,38
0,1326,184,38
0,1339,184,38
0,1351,183,38
0,1364,182,38
0,1376,182,39
0,1389,180,40
0,5702,180,42
0,5714,185,44
0,5727,195,52
0,5739,216,68
0,5752,249,95
0,5764,288,129
0,5777,323,163
0,5790,352,194
0,5802,377,222
0,5814,395,245
0,5827,407,266
0,5839,415,284
0,18240,417,284
0,18252,421,285
0,18264,429,288
0,18277,447,294
0,18290,484,309
0,18303,523,327
0,18316,563,348
0,18328,597,368
0,18340,622,385
0,18353,641,398
0,18365,651,406
0,18377,657,413
0,18390,661,417
0,18402,663,420
0,43278,661,420
0,43290,654,418
0,43303,642,413
0,43315,620,407
0,43328,598,398
0,43341,581,394
0,43354,569,390
0,43366,558,385
0,43379,551,381
0,43391,543,378
0,43404,536,376
0,43415,529,374
0,43428,523,373
0,43441,516,372
0,43453,509,372
0,43466,499,371
0,43477,488,370
0,43490,479,369
0,43502,470,369
0,43515,466,368
0,43528,463,367
0,43540,462,367
0,43591,462,367
0,43604,461,367
0,43616,458,367
0,43629,456,368
0,43642,454,369
0,43654,451,370
0,43666,449,370
0,43678,449,371
0,43703,449,372
0,43716,449,372
0,43728,449,373
0,43741,448,375
0,43916,449,375
0,43929,453,372
0,43941,463,370
0,43954,475,370
0,43966,492,370
0,43979,521,372
0,43990,550,379
0,44003,575,385
0,44015,596,391
0,44029,612,395
0,44040,625,398
0,44053,635,400
0,44066,644,401
0,44078,652,403
0,44091,659,405
0,44104,665,407
0,44117,669,409
0,44129,673,411
0,44141,675,413
0,44154,677,414
0,44165,679,416
0,44178,683,418
0,44191,685,418
0,44204,687,420
0,44216,688,420
0,44228,689,421
0,44241,689,421
0,44304,689,421
0,44316,689,419
0,44329,689,417
0,44341,689,414
0,44354,689,412
0,44366,689,410
0,44379,689,408
0,44390,689,406
0,44403,689,405
0,44416,689,403
0,44428,690,403
0,44441,690,402
0,44540,690,402
0,44715,690,402
