index,millis,x,y
0,0,697,108
0,152,697,106
0,160,695,105
0,400,695,107
0,415,694,109
0,423,694,111
0,431,694,113
0,439,694,116
0,447,694,118
0,455,694,121
0,463,694,125
0,471,694,128
0,479,694,132
0,487,694,138
0,495,694,145
0,503,694,151
0,511,694,163
0,519,694,176
0,527,694,192
0,535,694,213
0,543,694,234
0,551,694,255
0,559,694,280
0,567,694,303
0,575,694,326
0,583,694,351
0,591,694,372
0,599,694,393
0,607,694,416
0,615,694,437
0,623,694,454
0,631,694,475
0,639,694,490
0,647,694,505
0,655,694,522
0,663,694,537
0,671,694,552
0,679,694,567
0,687,694,580
0,695,694,593
0,703,694,608
0,711,694,621
0,719,694,632
0,727,694,645
0,735,692,656
0,743,694,667
0,751,694,678
0,759,694,689
0,767,694,698
0,775,694,707
0,783,692,714
0,791,692,720
0,799,692,727
0,807,691,733
0,815,689,740
0,823,687,746
0,831,687,752
0,839,685,758
0,847,685,766
0,855,684,772
0,863,682,778
0,871,682,783
0,879,680,789
0,887,682,795
0,895,680,800
0,903,682,806
0,911,682,811
0,919,682,817
0,927,680,822
0,935,682,826
0,943,680,832
0,951,682,836
0,959,682,841
0,967,680,846
0,975,680,852
0,983,682,855
0,991,680,860
0,999,681,860
0,1007,680,863
0,1015,680,865
0,1023,681,866
0,1031,680,869
0,1039,680,871
0,1047,680,873
0,1055,679,875
0,1063,679,878
0,1071,679,880
0,1079,678,882
0,1087,678,883
0,1095,678,884
0,1103,678,885
0,1111,679,887
0,1119,679,889
0,1127,679,890
0,1135,679,891
0,1143,679,894
0,1151,679,895
0,1159,679,897
0,1167,679,899
0,1175,680,901
0,1183,680,902
0,1191,680,904
0,1199,680,906
0,1207,680,907
0,1215,680,908
0,1223,680,909
0,1239,680,911
0,1255,680,912
0,1263,680,913
0,1271,681,915
0,1287,681,917
0,1295,682,918
0,1303,682,919
0,1311,682,921
0,1319,683,923
0,1327,683,924
0,1335,684,926
0,1343,684,927
0,1351,684,929
0,1367,684,930
0,1375,685,931
0,1423,685,932
0,1495,686,932
0,1503,686,932
0,1527,686,934
0,1559,686,935
0,1583,686,936
0,1855,686,937
0,1895,685,938
0,1911,685,939
0,1919,685,940
0,1943,685,941
0,1951,685,942
0,1959,685,943
0,1967,685,944
0,1975,685,945
0,1983,685,946
0,1991,686,948
0,1999,686,949
0,2007,687,950
0,2015,687,952
0,2023,687,953
0,2031,687,954
0,2039,688,955
0,2047,688,956
0,2055,688,958
0,2063,689,959
0,2071,689,960
0,2079,688,961
0,2087,689,963
0,2095,689,964
0,2103,689,965
0,2111,688,967
0,2119,688,968
0,2127,688,969
0,2135,688,971
0,2143,687,972
0,2151,687,973
0,2159,687,975
0,2167,687,976
0,2175,687,978
0,2183,687,979
0,2191,687,980
0,2199,687,981
0,2207,687,984
0,2215,687,985
0,2223,686,987
0,2231,686,988
0,2239,686,989
0,2247,686,991
0,2255,686,993
0,2263,686,994
0,2271,686,995
0,2279,686,996
0,2287,687,997
0,2295,687,998
0,2303,687,999
0,2311,686,1000
0,2327,686,1001
0,2335,686,1002
0,2351,686,1003
0,2367,686,1004
0,3359,687,1004
0,3431,688,1004
0,3463,689,1004
0,3559,690,1004
0,4071,691,1004
0,4143,692,1004
0,4255,693,1004
0,4769,693,1004
