index,millis,x,y
0,0,591,19
0,970,587,24
0,975,580,34
0,987,568,49
0,1000,553,80
0,1012,536,120
0,1025,517,161
0,1038,502,205
0,1050,488,244
0,1063,479,274
0,1076,474,290
0,4438,475,290
0,4451,482,289
0,4463,507,283
0,4475,566,273
0,4487,645,267
0,4500,734,267
0,4512,827,279
0,4525,919,301
0,4538,1007,332
0,4549,1085,365
0,4562,1148,393
0,4575,1194,408
0,4587,1224,416
0,4600,1240,420
0,4612,1247,421
0,4626,1248,421
0,6326,1246,421
0,6338,1234,415
0,6349,1196,404
0,6362,1130,391
0,6375,1061,383
0,6387,987,379
0,6400,917,379
0,6413,862,386
0,6425,818,397
0,6436,785,409
0,6449,768,418
0,25462,768,419
0,25474,768,422
0,25487,767,429
0,25499,766,440
0,25512,763,453
0,25524,759,472
0,25537,753,497
0,25550,745,524
0,25561,737,551
0,25574,729,578
0,25586,723,603
0,25599,716,625
0,25612,711,642
0,25624,706,654
0,25636,703,662
0,25649,700,669
0,25661,697,674
0,25674,696,677
0,26562,696,679
0,26574,695,682
0,26587,693,689
0,26599,691,699
0,26612,687,712
0,26625,684,727
0,26637,678,746
0,26649,673,768
0,26662,667,785
0,26673,664,797
0,26686,661,809
0,26698,659,817
0,26711,657,823
0,26824,657,823
