index,millis,x,y
0,0,363,133
0,288,365,133
0,300,368,134
0,312,372,136
0,325,380,141
0,336,388,147
0,349,399,157
0,362,408,169
0,374,417,179
0,387,425,190
0,399,431,200
0,412,438,207
0,424,442,212
0,436,447,214
0,449,449,216
0,461,452,216
0,971,565,172
0,984,737,129
0,996,908,105
0,1009,1076,102
0,1022,1208,106
0,1034,1300,110
0,1047,1379,111
0,1060,1417,111
0,1246,1418,111
0,1259,1428,108
0,1271,1466,88
0,1283,1535,55
0,1295,1614,27
0,1308,1689,6
0,1320,1759,-9
0,1333,1817,-6
0,1345,1863,-2
0,1357,1896,-1
0,1370,1918,0
0,1382,1936,1
0,1394,1934,4
0,1557,1919,6
0,1570,1917,13
0,1581,1913,21
0,1595,1908,31
0,1607,1904,38
0,1620,1900,46
0,1632,1898,51
0,1645,1897,55
0,1657,1896,55
0,1669,1896,57
0,1681,1896,57
0,1694,1895,57
0,1807,1895,58
0,1819,1895,58
0,1832,1894,59
0,1844,1894,60
0,1856,1893,61
0,1869,1892,64
0,1881,1891,65
0,1894,1890,68
0,1906,1889,70
0,1918,1889,73
0,1930,1888,76
0,1955,1888,76
