index,millis,x,y
0,0,418,13
0,460,419,13
0,485,429,13
0,498,454,17
0,511,509,27
0,523,573,35
0,536,642,43
0,548,708,54
0,561,763,60
0,573,805,63
0,585,839,68
0,597,874,79
0,24573,888,78
0,24586,912,75
0,24598,962,69
0,24611,1019,67
0,24623,1080,63
0,24635,1140,57
0,24649,1193,47
0,24661,1234,36
0,24674,1267,26
0,24686,1289,19
0,24948,1289,19
0,24985,1323,13
0,24998,1394,9
0,25009,1465,9
0,25022,1536,17
0,25034,1600,27
0,25047,1653,37
0,25059,1687,44
0,25072,1710,51
0,25084,1724,55
0,25097,1739,64
0,25708,1739,67
0,25720,1739,75
0,25732,1739,89
0,25745,1741,114
0,25757,1744,145
0,25770,1745,165
0,25783,1748,177
0,25795,1752,185
0,25808,1754,189
0,25820,1760,192
0,25833,1770,195
0,25845,1779,197
0,26119,1782,196
0,26132,1787,191
0,26144,1792,185
0,26157,1796,179
0,26169,1801,171
0,26181,1806,165
0,26194,1812,159
0,26207,1817,152
0,26219,1822,146
0,26231,1826,141
0,26244,1830,136
0,26256,1834,131
0,26269,1838,129
0,26282,1840,126
0,26293,1844,123
0,26305,1847,119
0,26318,1851,115
0,26330,1856,110
0,26343,1859,107
0,26355,1863,104
0,26368,1865,102
0,26381,1866,100
0,26394,1868,99
0,26406,1869,98
0,26418,1871,95
0,26432,1872,94
0,26444,1874,93
0,26455,1874,92
0,26468,1875,92
0,26481,1875,91
0,26493,1877,91
0,26506,1878,89
0,26518,1879,89
0,26531,1881,87
0,26543,1882,86
0,26841,1882,86
