index,millis,x,y
0,0,939,113
0,785,936,114
0,797,923,122
0,810,888,147
0,823,836,182
0,835,779,223
0,847,716,274
0,860,648,329
0,873,585,388
0,885,532,439
0,897,494,478
0,910,467,507
0,922,454,522
0,935,448,528
0,1196,429,537
0,1208,397,555
0,1221,357,578
0,1233,315,599
0,1246,272,624
0,1259,232,645
0,1271,205,664
0,1284,181,678
0,3330,189,673
0,3343,214,656
0,3356,269,630
0,3368,348,603
0,3380,440,579
0,3393,539,559
0,3405,632,541
0,3418,718,525
0,3430,786,517
0,3442,837,509
0,3454,867,508
0,3467,880,508
0,3716,894,490
0,3729,917,460
0,3741,938,430
0,3753,962,404
0,3767,981,384
0,3779,994,371
0,3791,1003,364
0,3804,1011,359
0,3817,1018,356
0,3829,1025,354
0,4079,1025,354
