index,millis,x,y
0,0,393,745
0,12429,398,737
0,12442,413,721
0,12454,436,702
0,12466,456,683
0,12479,481,667
0,12491,507,648
0,12503,532,633
0,12516,553,623
0,12530,576,612
0,12541,594,604
0,12554,611,597
0,12566,630,592
0,12579,647,585
0,12592,662,578
0,13316,660,578
0,13327,652,580
0,13340,636,585
0,13352,601,596
0,13365,557,609
0,13377,513,624
0,13390,475,639
0,13402,439,653
0,13415,410,667
0,13427,387,678
0,13440,363,690
0,31777,363,689
0,31790,363,683
0,31803,363,672
0,31815,363,656
0,31827,365,633
0,31840,368,618
0,31852,369,607
0,31864,371,599
0,31877,372,594
0,31890,373,590
0,31902,375,584
0,31915,377,575
0,31927,381,557
0,31940,391,530
0,31951,399,502
0,31964,406,484
0,35249,408,484
0,35262,410,484
0,35275,414,483
0,35287,421,481
0,35300,429,478
0,35312,442,474
0,35325,459,469
0,35337,482,460
0,35350,507,450
0,35362,533,439
0,35375,561,429
0,35387,586,420
0,35400,611,412
0,35412,632,406
0,35425,646,403
0,35437,658,398
0,35449,669,398
0,35462,679,397
0,37447,679,397
