index,millis,x,y
0,0,653,531
0,64327,663,531
0,64340,681,531
0,64351,714,531
0,64364,757,531
0,64375,809,531
0,64389,858,529
0,64401,909,527
0,64413,954,523
0,64426,984,522
0,64439,1007,519
0,64452,1019,518
0,64676,1026,518
0,64689,1039,518
0,64701,1059,518
0,64714,1093,518
0,64726,1128,520
0,64738,1162,523
0,64751,1191,528
0,64762,1219,531
0,64775,1244,533
0,64788,1264,533
0,64801,1287,531
0,65050,1291,531
0,65061,1298,531
0,65074,1304,531
0,65086,1312,531
0,65099,1319,531
0,65112,1324,531
0,65126,1327,531
0,65137,1330,531
0,65150,1333,531
0,67655,1333,531
0,67668,1333,534
0,67680,1333,539
0,67693,1331,550
0,67705,1327,564
0,67718,1322,591
0,67730,1320,615
0,67742,1317,630
0,67755,1317,642
0,67768,1316,653
0,67780,1316,662
0,67793,1316,670
0,67805,1316,677
0,67818,1316,680
0,68429,1316,680
0,68466,1316,679
0,68491,1316,679
0,68516,1316,678
0,68528,1316,678
0,68540,1316,677
0,68554,1316,677
0,68566,1316,676
0,68579,1317,675
0,68591,1317,675
0,68603,1318,674
0,68615,1319,674
0,68628,1319,673
0,68640,1319,673
0,68653,1320,671
0,68665,1320,671
0,68678,1321,670
0,68690,1321,670
0,68703,1322,669
0,68715,1323,669
0,68728,1323,668
0,68740,1323,667
0,68754,1324,667
0,68765,1324,667
0,68790,1325,666
0,68803,1325,666
0,68815,1325,666
0,68828,1326,665
0,68841,1327,665
0,68852,1328,664
0,68865,1328,662
0,68877,1329,662
0,68890,1329,662
0,68903,1329,662
0,68915,1330,661
0,68928,1331,660
0,68940,1332,658
0,68952,1333,658
0,68965,1334,657
0,68977,1335,655
0,68991,1336,654
0,69003,1337,652
0,69015,1338,651
0,69027,1340,650
0,69039,1340,648
0,69053,1341,647
0,69065,1342,646
0,69078,1342,646
0,69090,1343,645
0,69102,1343,645
0,69165,1343,644
0,69264,1343,643
0,69651,1343,643
0,69663,1342,643
0,69675,1342,643
0,69688,1341,643
0,69701,1340,643
0,69713,1339,643
0,69725,1338,642
0,69738,1337,642
0,69750,1336,642
0,69762,1336,642
0,69774,1336,642
0,75250,1336,642
0,75262,1336,644
0,75275,1338,646
0,75287,1342,652
0,75301,1348,660
0,75313,1359,672
0,75325,1376,692
0,75338,1392,709
0,75350,1410,728
0,75363,1429,746
0,75375,1445,764
0,75388,1461,781
0,75400,1479,799
0,75412,1492,816
0,75787,1491,816
0,75799,1486,817
0,75812,1479,819
0,75824,1466,821
0,75836,1454,825
0,75849,1441,828
0,75861,1427,830
0,75874,1418,833
0,75886,1412,834
0,75899,1408,836
0,75912,1404,838
0,75925,1401,840
0,75936,1399,843
0,75948,1397,846
0,75961,1395,851
0,75973,1395,854
0,75986,1395,858
0,75998,1395,861
0,76011,1396,864
0,76023,1402,868
0,76036,1410,871
0,76049,1418,874
0,76061,1428,876
0,76073,1437,877
0,76087,1448,877
0,76099,1458,877
0,76111,1469,876
0,76124,1480,874
0,76136,1491,872
0,76149,1499,870
0,76161,1506,868
0,76959,1506,868
0,76971,1506,868
0,76984,1506,869
0,76997,1506,871
0,77009,1506,872
0,77021,1506,874
0,77034,1506,877
0,77046,1505,878
0,77059,1504,880
0,77071,1504,881
0,77084,1504,882
0,77096,1504,882
0,77108,1504,884
0,77121,1503,884
0,77134,1503,885
0,77146,1503,885
0,77159,1502,885
0,77171,1501,885
0,77184,1500,885
0,77196,1497,885
0,77209,1495,885
0,77221,1493,885
0,77234,1491,885
0,77247,1490,885
0,77258,1488,884
0,77271,1486,884
0,77284,1485,884
0,77296,1485,883
0,77309,1484,882
0,77320,1483,882
0,77332,1483,882
0,77345,1481,881
0,77357,1481,881
0,77370,1479,881
0,77383,1478,881
0,77396,1476,880
0,77409,1475,879
0,77421,1472,878
0,77434,1471,877
0,77446,1470,876
0,77459,1468,876
0,77470,1467,876
0,77483,1466,874
0,77545,1466,874
