index,millis,x,y
0,0,1451,64
0,5909,1451,63
0,5919,1451,62
0,5944,1435,62
0,5955,1360,62
0,5968,1268,78
0,5980,1180,100
0,5992,1098,124
0,6006,1027,146
0,6018,968,163
0,6031,915,178
0,6043,867,194
0,6055,819,207
0,6067,780,218
0,6381,780,218
0,6393,773,222
0,6405,750,231
0,6418,717,243
0,6430,681,256
0,6443,646,267
0,6455,614,277
0,6468,584,287
0,6480,561,296
0,6493,543,301
0,6505,529,306
0,6518,514,310
0,6530,501,312
0,6993,499,312
0,7006,497,312
0,7018,492,312
0,7029,488,312
0,7042,484,312
0,7055,481,312
0,7067,478,312
0,7080,475,312
0,7092,472,312
0,7105,470,312
0,7117,468,312
0,7131,466,312
0,7143,465,312
0,7155,463,312
0,7168,460,312
0,7180,455,312
0,7395,455,312
